"Season","Team","PA","BB%+","K%+","AVG+","OBP+","SLG+","wRC+","ISO+","BABIP+","LD%+","GB%+","FB%+","Pull%+","Cent%+","Oppo%+"
"2010","NYY","6379","122","102","102","107","107","112","115","102","99","102","98","103","97","99"
"2018","OAK","6255","106","101","101","102","105","112","112","100","101","94","107","98","102","100"
"2021","TOR","5247","97","89","108","104","110","112","114","102","101","97","103","100","97","103"
"2014","DET","6202","93","94","109","105","109","112","109","107","107","96","101","101","100","99"
"2018","NYY","6271","120","104","100","103","108","112","121","97","95","98","105","102","100","97"
"2003","ATL","6378","95","91","106","102","110","112","118","101","95","100","103","103","102","94"
"2014","LAD","6231","106","100","104","104","103","112","101","105","100","107","91","93","100","110"
"2001","CLE","6357","109","103","104","105","107","112","111","104","","","","","",""
"2018","LAD","6358","113","105","99","102","106","111","117","98","98","93","110","104","98","97"
"2019","LAD","6281","109","99","100","102","106","111","115","97","101","94","106","102","99","98"
"2018","BOS","6302","109","91","107","106","109","111","111","105","96","103","99","99","99","103"
"2008","BOS","6402","117","99","104","106","106","110","110","104","102","95","105","105","101","90"
"2018","HOU","6146","111","89","102","103","102","110","102","98","96","98","104","105","101","90"
"2005","CLE","6255","102","111","101","101","106","110","116","102","100","101","99","108","95","93"
"2014","LAA","6284","101","102","102","102","104","110","107","102","99","103","97","101","98","101"
"2002","SEA","6362","117","97","104","105","99","110","90","105","103","104","93","89","105","113"
"2020","TBR","2261","119","113","98","103","103","110","109","103","100","102","98","107","96","93"
"2007","BOS","6426","125","97","103","107","105","109","108","103","98","95","107","102","102","94"
"2004","CLE","6452","111","96","102","104","102","109","103","102","101","100","100","101","99","99"
"2000","CLE","6512","110","104","104","105","106","109","108","105","","","","","",""
"2020","PHI","2223","111","93","104","105","104","109","105","102","96","96","108","98","100","103"
"2017","NYY","6354","115","102","102","104","104","109","107","102","101","99","101","102","97","101"
"2000","OAK","6432","122","115","98","103","103","109","112","99","","","","","",""
"2013","LAA","6260","103","99","103","102","102","109","101","103","101","105","93","93","106","103"
"2003","STL","6466","99","91","104","103","105","109","108","101","103","96","103","98","101","102"
"2010","BOS","6356","108","103","103","103","111","109","124","101","97","90","113","101","99","100"
