"Season","Team","Batting","Base Running","Fielding","Positional","Offense","Defense","League","Replacement","RAR","WAR","Dollars"
"2019","NYY","129.2","-0.8","-0.5","-14.0","128.4","-14.5","24.0","196.4","334.3","32.5","$259.8"
"2018","BOS","79.2","-5.1","46.1","-15.2","74.1","30.9","19.3","188.6","312.8","32.2","$257.6"
"2018","OAK","89.0","-5.8","37.8","-14.9","83.2","23.0","19.1","187.2","312.5","32.2","$257.3"
"2009","PHI","22.4","20.0","39.2","39.2","42.5","78.4","5.5","193.0","319.3","32.0","$204.5"
"2014","LAD","81.8","-0.4","-15.6","35.9","81.4","20.3","12.2","176.0","290.0","31.8","$241.7"
"2014","PIT","57.8","3.8","2.3","34.4","61.6","36.7","12.2","175.8","286.3","31.4","$238.7"
"2018","NYY","88.1","14.6","10.1","-14.8","102.8","-4.6","19.2","187.6","304.9","31.4","$251.1"
"2002","SEA","74.7","12.9","25.0","-16.3","87.6","8.8","22.7","193.8","313.0","31.3","$122.2"
"2000","ANA","54.5","-4.5","70.0","-17.3","49.9","52.7","23.3","206.1","331.9","31.3",""
"2010","NYY","89.4","12.1","-7.7","-17.1","101.5","-24.8","35.5","189.0","301.2","31.2","$187.4"
"2000","STL","41.2","-5.2","45.0","37.1","36.0","82.1","9.4","205.9","333.4","31.2",""
"2003","SEA","34.1","2.4","78.1","-15.5","36.5","62.6","22.6","194.0","315.7","31.1","$133.6"
"2001","STL","8.5","2.7","64.0","39.0","11.2","103.0","9.7","192.7","316.6","31.1",""
"2019","MIN","128.8","-8.4","-11.5","-15.2","120.4","-26.7","24.6","201.0","319.3","31.0","$248.1"
"2001","SFG","67.4","-7.2","5.0","41.3","60.2","46.3","10.1","199.9","316.5","30.9",""
"2005","CLE","72.9","3.6","34.9","-14.7","76.4","20.2","20.3","190.9","307.8","30.9","$145.1"
"2007","DET","67.1","8.0","33.6","-14.2","75.1","19.4","23.0","197.2","314.7","30.7","$171.9"
"2010","TBR","40.9","37.6","14.1","-17.2","78.5","-3.2","34.9","185.7","296.0","30.7","$184.2"
"2011","MIL","20.3","0.3","49.7","32.3","20.6","82.0","8.1","177.7","288.4","30.5","$231.8"
"2011","ARI","-23.8","9.0","85.0","32.8","-14.8","117.8","8.0","177.3","288.3","30.5","$231.8"
"2002","STL","6.4","11.7","45.7","36.5","18.1","82.2","12.7","190.3","303.3","30.4","$118.4"
"2014","LAA","66.0","1.3","27.6","-16.0","67.3","11.5","20.4","177.5","276.7","30.4","$230.7"
"2021","HOU","115.8","-8.5","20.6","-12.4","107.4","8.2","15.1","169.4","300.1","30.2","$241.2"
"2008","CHC","27.1","6.1","24.2","39.9","33.2","64.1","9.8","194.4","301.5","30.1","$186.4"
"2010","MIL","31.9","0.6","30.2","36.0","32.4","66.3","3.7","186.7","289.1","30.0","$179.9"
"2007","BOS","75.7","-5.0","27.1","-15.3","70.7","11.8","23.2","199.1","304.8","29.7","$166.5"
"2005","ATL","-1.4","-1.7","59.0","37.7","-3.1","96.7","12.7","188.8","295.1","29.6","$139.1"
