Year,Tm,Lg,Wtm,Ltm,tmW-L%,Outs,RC,RC/G,AIR,BAbip,BA,OBP,SLG,OPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd
2016,ARI,NL,69,93,0,4415,810,4.9,111,0.316,0.261,0.321,0.432,0.752,93,0.522,-72.0,-7.3,0.714,0.271,0.171,159.2
2016,TOR,AL,89,73,1,4364,789,4.8,104,0.289,0.248,0.330,0.426,0.755,101,0.511,14.6,1.2,0.715,0.299,0.178,86.8
2016,OAK,AL,69,93,0,4360,658,4.0,99,0.280,0.246,0.304,0.395,0.699,91,0.429,-68.3,-6.8,0.625,0.234,0.149,77.2
2016,SDP,NL,68,94,0,4354,666,4.1,100,0.291,0.235,0.299,0.390,0.689,86,0.439,-107.0,-10.7,0.642,0.253,0.155,146.5
2016,ATL,NL,68,93,0,4405,706,4.3,103,0.305,0.255,0.321,0.384,0.705,89,0.460,-78.5,-7.9,0.642,0.228,0.130,92.9
2016,TBR,AL,68,94,0,4319,726,4.5,98,0.293,0.243,0.307,0.426,0.733,100,0.478,1.8,0.1,0.681,0.269,0.182,93.9
2016,BAL,AL,89,73,1,4296,777,4.8,104,0.291,0.256,0.317,0.443,0.760,101,0.511,4.8,0.4,0.702,0.273,0.188,35.3
2016,SFG,NL,87,75,1,4372,756,4.6,101,0.299,0.258,0.330,0.398,0.728,97,0.495,-17.3,-1.8,0.679,0.250,0.140,98.3
2016,BOS,AL,93,69,1,4281,929,5.8,107,0.320,0.282,0.348,0.461,0.810,112,0.594,100.7,9.5,0.779,0.288,0.179,118.7
2016,MIN,AL,59,103,0,4407,771,4.7,102,0.300,0.251,0.316,0.421,0.738,98,0.496,-19.5,-2.0,0.695,0.272,0.171,125.1
2016,NYM,NL,87,75,1,4334,738,4.6,101,0.282,0.246,0.316,0.417,0.733,97,0.488,-23.7,-2.4,0.680,0.270,0.171,70.4
2016,TEX,AL,95,67,1,4287,780,4.9,108,0.298,0.262,0.322,0.433,0.755,96,0.514,-36.4,-3.6,0.709,0.262,0.172,135.6
2016,CHC,NL,103,58,1,4314,857,5.3,106,0.302,0.256,0.344,0.429,0.772,104,0.558,40.5,3.7,0.750,0.298,0.173,99.1
2016,HOU,AL,84,78,1,4414,753,4.6,97,0.298,0.247,0.319,0.417,0.735,103,0.485,29.2,2.6,0.692,0.280,0.170,134.6
2016,CHW,AL,78,84,0,4353,726,4.5,99,0.304,0.257,0.317,0.410,0.727,99,0.474,-5.6,-0.7,0.668,0.242,0.153,105.6
2016,MIA,NL,79,82,0,4339,720,4.4,99,0.314,0.263,0.322,0.394,0.717,96,0.476,-23.5,-2.5,0.648,0.219,0.131,91.3
2016,STL,NL,86,76,1,4354,810,5.0,103,0.294,0.255,0.325,0.442,0.767,104,0.528,31.8,3.0,0.721,0.284,0.187,60.6
2016,CIN,NL,68,94,0,4366,733,4.5,106,0.304,0.256,0.316,0.408,0.724,91,0.481,-77.9,-7.9,0.676,0.251,0.152,150.5
