"Season","Team","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch"
"2010","BOS","6.15","-109.79","115.94","69.13","6.82","1.00","1.50","124","6.19","-0.04"
"2004","SDP","6.09","-106.12","112.20","68.02","6.81","1.00","1.17","249","6.70","-0.61"
"2012","WSN","6.06","-108.41","114.47","38.81","3.96","1.01","1.30","244","2.92","3.08"
"2019","NYM","6.04","-110.86","116.90","69.48","7.29","1.01","1.47","267","7.63","-1.66"
"2008","STL","6.02","-106.60","112.62","45.33","4.83","0.98","1.22","273","7.22","-1.07"
"2007","LAA","5.84","-103.88","109.72","55.86","5.60","0.96","1.22","101","0.94","5.18"
"2011","NYY","5.82","-103.68","109.51","137.73","13.66","0.95","1.46","71","10.05","-3.94"
"2008","BOS","5.70","-108.81","114.51","74.24","6.84","0.98","1.30","60","7.35","-1.56"
"2000","LAD","5.69","-112.72","118.42","45.32","4.33","1.02","1.47","243","6.15","-0.58"
"2007","DET","5.68","-106.32","112.00","101.90","9.93","0.97","1.60","77","4.69","1.19"
"2008","TBR","5.51","-111.95","117.47","40.98","4.39","1.02","1.48","131","4.64","0.76"
"2007","NYM","5.49","-104.81","110.30","56.60","5.74","0.96","1.12","264","6.07","-0.34"
"2011","BOS","5.45","-109.98","115.43","134.63","13.16","0.99","1.26","89","12.22","-6.71"
"2018","HOU","5.37","-104.76","110.13","97.88","10.33","0.97","2.06","91","7.01","-1.50"
"2009","BOS","5.36","-104.14","109.50","81.96","7.52","0.94","1.43","84","7.98","-2.30"
"2006","CHW","5.33","-108.10","113.44","53.63","4.86","0.95","1.29","135","4.89","0.69"
"2001","CLE","5.32","-110.20","115.52","69.72","6.49","0.98","1.47","96","3.85","1.59"
"2002","ARI","5.28","-107.22","112.50","76.37","6.98","1.00","1.29","295","6.63","-1.33"
"2011","ARI","5.28","-106.23","111.50","41.55","4.28","1.00","1.35","248","0.92","4.37"
"2021","CHW","5.25","-86.69","91.94","82.15","8.37","0.93","1.55","75","7.42","-1.80"
"2020","SDP","5.18","-37.18","42.36","51.08","5.09","0.96","1.26","44","4.24","1.18"
"2004","CHW","5.17","-104.32","109.49","54.67","4.96","0.95","1.34","130","2.36","3.09"
"2013","SFG","5.15","-107.78","112.93","22.00","3.30","1.06","1.44","259","2.92","1.93"
"2010","ATL","5.14","-110.87","116.01","46.10","4.84","1.04","1.25","258","3.69","1.25"
"2015","KCR","5.14","-100.74","105.88","21.04","2.06","0.96","1.26","40","0.57","4.80"
