"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","SB","CS","AVG","OBP","SLG","OPS","wOBA","playerid"
"Trevor Story","COL","54","240","215","60","14","2","12","37","34","20","59","9","2",".279",".345",".527",".872",".368","12564"
"Alex Bregman","HOU","45","194","165","45","10","1","8","27","27","24","28","1","0",".270",".369",".492",".861",".368","17678"
"Josh Donaldson","MIN","52","217","182","46","9","0","11","31","29","31","47","1","0",".252",".365",".491",".856",".368","5038"
"Anthony Rendon","LAA","43","178","153","42","9","0","8","24","24","21","28","1","0",".275",".367",".495",".863",".368","12861"
"Anthony Rizzo","CHC","58","251","213","57","11","1","11","34","33","27","39","3","1",".270",".370",".487",".858",".367","3473"
"Jose Altuve","HOU","56","241","214","61","11","1","11","35","34","22","39","4","1",".286",".357",".499",".856",".366","5417"
"Bryan Reynolds","PIT","58","244","216","62","13","1","10","33","34","23","54","2","1",".285",".359",".500",".859",".366","19326"
"C.J. Cron","COL","49","216","190","51","10","1","12","30","32","19","48","0","0",".268",".348",".510",".858",".365","12546"
"Pete Alonso","NYM","60","267","234","60","11","0","17","37","43","25","65","1","0",".257",".341",".523",".864",".365","19251"
"Manny Machado","SDP","52","234","207","57","11","1","13","32","37","23","40","4","1",".276",".348",".516",".864",".364","11493"
"Eloy Jimenez","CHW","48","208","191","53","11","1","12","28","32","14","50","0","0",".280",".334",".524",".858",".363","17484"
"Will Smith","LAD","35","144","124","32","7","0","8","20","21","15","32","1","0",".258",".347",".505",".852",".362","19197"
"Cody Bellinger","LAD","49","222","191","49","10","1","12","33","32","28","50","4","1",".257",".352",".505",".857",".362","15998"
"Rhys Hoskins","PHI","57","250","212","51","11","1","14","35","37","32","61","2","1",".242",".348",".498",".846",".361","16472"
"Trea Turner","WSN","50","220","200","59","11","2","8","33","27","16","42","11","2",".295",".351",".492",".844",".361","16252"
"Corey Seager","LAD","47","210","187","52","12","1","9","29","29","20","39","1","0",".281",".353",".490",".843",".361","13624"
"Charlie Blackmon","COL","51","224","200","58","12","2","7","30","29","19","36","2","1",".292",".361",".481",".842",".360","7859"
"Marcell Ozuna","ATL","14","61","54","15","2","0","3","8","9","6","13","0","0",".273",".346",".499",".845",".360","10324"
"Yasmani Grandal","CHW","27","107","88","20","3","0","6","15","15","17","28","0","0",".230",".360",".473",".833",".360","11368"
"Joey Votto","CIN","54","244","208","54","10","1","11","33","32","32","53","1","0",".262",".364",".473",".836",".360","4314"
"Franmil Reyes","CLE","54","231","207","54","10","0","15","32","37","20","67","1","0",".260",".328",".526",".854",".359","14566"
"Willson Contreras","CHC","48","193","167","43","8","1","9","27","26","19","49","2","1",".260",".351",".483",".834",".359","11609"
"Ozzie Albies","ATL","56","235","214","60","13","2","10","34","31","17","42","8","1",".283",".339",".506",".846",".358","16556"
"Paul Goldschmidt","STL","57","249","216","58","10","1","11","34","32","29","56","2","1",".269",".359",".473",".831",".358","9218"
"Giancarlo Stanton","NYY","52","224","195","49","8","0","13","31","32","26","66","1","0",".250",".343",".495",".838",".358","4949"
"Andrew McCutchen","PHI","50","217","186","47","9","1","10","30","29","27","49","3","1",".255",".355",".476",".831",".358","9847"
"Austin Riley","ATL","53","225","202","55","11","1","12","31","33","19","58","1","0",".270",".337",".505",".842",".357","18360"
"Jose Abreu","CHW","57","248","223","61","11","1","13","33","36","18","55","1","0",".272",".338",".501",".840",".357","15676"
"Bo Bichette","TOR","62","274","251","72","16","1","11","40","36","19","58","7","2",".286",".340",".493",".832",".355","19612"
"Mike Moustakas","CIN","33","149","133","34","6","0","9","20","23","14","28","1","0",".257",".331",".509",".840",".355","4892"
"Nolan Arenado","STL","58","251","225","61","12","1","13","32","37","22","36","1","0",".271",".336",".507",".843",".355","9777"
"Trey Mancini","BAL","57","241","215","58","10","1","12","32","32","21","56","0","0",".271",".341",".489",".830",".355","15149"
"Brandon Lowe","TBR","47","205","178","44","9","1","11","29","30","23","60","2","1",".246",".338",".494",".832",".355","18882"
"Chris Taylor","LAD","55","245","217","58","12","2","10","36","31","24","67","4","1",".267",".346",".479",".825",".354","13757"
"Marcus Semien","TOR","63","277","246","64","13","1","14","40","38","28","59","5","1",".259",".335",".492",".827",".353","12533"
"Jared Walsh","LAA","55","230","207","54","11","1","13","32","35","18","65","1","0",".259",".324",".511",".835",".352","18607"
"Eugenio Suarez","CIN","55","249","219","53","9","1","16","35","38","25","72","1","1",".241",".328",".500",".828",".352","12552"
"Luke Voit","NYY","50","217","190","49","8","0","11","29","30","21","59","0","0",".255",".339",".481",".820",".352","14811"
"Josh Bell","WSN","53","234","207","54","10","1","12","31","35","24","52","1","0",".263",".341",".490",".831",".352","13145"
"Ketel Marte","ARI","46","200","181","52","11","2","6","26","24","16","30","2","1",".290",".349",".468",".818",".351","13613"
"Jordan Luplow","CLE","20","86","74","18","4","0","4","12","11","10","20","1","0",".246",".344",".471",".814",".350","16424"
"Brandon Belt","SFG","37","162","138","33","7","1","7","22","21","22","44","2","0",".241",".348",".467",".815",".350","10264"
"Mark Canha","OAK","53","228","192","48","10","1","9","31","25","27","50","3","1",".248",".357",".444",".802",".350","11445"
